sku,collection,category,inventory,date,supply_days
mammo-ottoman-anthracite,Mammo bergere,Sofa,1,.1.2023,34
mammo-ottoman-cream,Mammo bergere,Sofa,2,.1.2023,34
mammo-sofa-anthracite,Mammo sofa,Sofa,-2,.1.2023,34
mammo-sofa-cream,Mammo sofa,Sofa,2,.1.2023,34
mammo-sofa-grey,Mammo sofa,Sofa,1,.1.2023,34
mammo-sofa-navy,Mammo sofa,Sofa,3,.1.2023,34
mammo-sofa+ottoman-anthracite,Mammo sofa,Sofa,10,.1.2023,34
mammo-sofa-cream_SF,Mammo sofa,Sofa,16,.1.2023,34
mammo-L-sofa-anthracite,Mammo sofa,Sofa,8,.1.2023,34
mammo-L-sofa-cream,Mammo sofa,Sofa,11,.1.2023,34
mammo-L-sofa-navy,Mammo sofa,Sofa,26,.1.2023,34
mammo-sofa+bergere+ottoman-anthracite,Mammo set,Sofa,-1,.1.2023,34
mammo-sofa+bergere+ottoman-cream,Mammo set,Sofa,1,.1.2023,34
mammo-sofa+bergere+ottoman-grey,Mammo set,Sofa,2,.1.2023,34
mammo-sofa+bergere+ottoman-navy,Mammo set,Sofa,-2,.1.2023,34
luna-pouf-anthracite,Luna,Pouf,3,.1.2023,26
luna-pouf-beige,Luna,Pouf,4,.1.2023,26
luna-pouf-black,Luna,Pouf,1,.1.2023,26
luna-pouf-cube-cream,Luna,Pouf,29,.1.2023,26
luna-pouf-cube-grey,Luna,Pouf,8,.1.2023,26
luna-pouf-green,Luna,Pouf,8,.1.2023,26
luna-pouf-mustard,Luna,Pouf,3,.1.2023,26
luna-pouf-red,Luna,Pouf,6,.1.2023,26
luna-pouf-cube-Anthrazit,Luna,Pouf,0,.1.2023,26
salamanca-sofabed+bergere-navy,Salamanca,Sofa,18,.1.2023,26
palencia-L-sofa-anthracite,Palencia,Sofa,5,.1.2023,26
palencia-L-sofa-cream,Palencia,Sofa,3,.1.2023,26
palencia-L-sofa+pouf-anthracite,Palencia,Sofa,3,.1.2023,26
palencia-L-sofa+pouf-cream,Palencia,Sofa,1,.1.2023,26
palencia-L-sofa+pouf-grey,Palencia,Sofa,1,.1.2023,26
palencia-pouf-anthracite,Palencia,Sofa,3,.1.2023,26
bilbao-sofa-anthracite,Bilbao,Sofa,10,.1.2023,26
bilbao-sofa-purple_SF,Bilbao,Sofa,0,.1.2023,26
murcia-sofa-black,Murcia,Sofa,6,.1.2023,26
murcia-sofa-sand,Murcia,Sofa,3,.1.2023,26
palamos-sofa-brown,Palamos,Sofa,1,.1.2023,26
palamos-sofa-green,Palamos,Sofa,5,.1.2023,26
palamos-sofa-grey,Palamos,Sofa,4,.1.2023,26
palamos-sofa-grey_SF,Palamos,Sofa,25,.1.2023,26
berne-180U-Mia-Orange-6x,Berne Mia Set,Set,26,.1.2023,26
sevilla-140-K-U,Sevilla,Dining table,0,.1.2023,26
sevilla-160-K-U,Sevilla,Dining table,0,.1.2023,26
La-Moncloa-120-Profil-Buche,La Moncloa,Dining table,28,.1.2023,26
La-Moncloa-160-Profil-Buche,La Moncloa,Dining table,11,.1.2023,26
Pingu-Metallbeinen,Table legs,Legs,16,.1.2023,26
Spider-leg-120,Table legs,Legs,30,.1.2023,26
Spider-leg-150,Table legs,Legs,14,.1.2023,26
Spider-leg-85,Table legs,Legs,9,.1.2023,26
U-Legs,Table legs,Legs,28,.1.2023,26
holzbeinstuhle_x4,Industrial chairs,Chair,5,.1.2023,31
metallbeinstuhle_x2,Industrial chairs,Chair,16,.1.2023,31
metallbeinstuhle_x4,Industrial chairs,Chair,6,.1.2023,31
ayna_yuvarlak_ceviz,Round wooden mirrors,Mirror,25,.1.2023,23
ayna_yuvarlak_oak,Round wooden mirrors,Mirror,6,.1.2023,23
ayna_yuvarlak_siyah,Round wooden mirrors,Mirror,31,.1.2023,23
Ayna-yuvarlak-beyaz,Round wooden mirrors,Mirror,32,.1.2023,23
Obejo-Black-47,Round wooden mirrors,Mirror,0,.1.2023,23
Obejo-Black-78,Round wooden mirrors,Mirror,22,.1.2023,23
Obejo-Oak-47,Round wooden mirrors,Mirror,8,.1.2023,23
Obejo-Oak-78,Round wooden mirrors,Mirror,2,.1.2023,23
Obejo-Walnut-45,Round wooden mirrors,Mirror,5,.1.2023,23
Obejo-Walnut-45_UK,Round wooden mirrors,Mirror,17,.1.2023,23
Obejo-Walnut-78,Round wooden mirrors,Mirror,20,.1.2023,23
Obejo-White-45,Round wooden mirrors,Mirror,22,.1.2023,23
Obejo-White-45_UK,Round wooden mirrors,Mirror,23,.1.2023,23
Obejo-White-78,Round wooden mirrors,Mirror,2,.1.2023,23
ekohali_arya_black80150,Arya,Carpet,0,.1.2023,31
ekohali_arya_grey_120180,Arya,Carpet,0,.1.2023,31
ekohali_arya_grey_80150,Arya,Carpet,0,.1.2023,31
ekohali_arya_natural120180,Arya,Carpet,0,.1.2023,31
ekohali_arya_pinkaqua160230,Arya,Carpet,0,.1.2023,31
